timestamp,satellite,id,latitude,longitude,height_km
1737768213.035964,Starlink-550 82,82,-35.3279,-133.2134,520.1
1737768213.035964,Starlink-550 83,83,-45.2665,-116.1479,524.19
1737768213.035964,Starlink-550 84,84,-51.7381,-93.4515,526.79
1737768213.035964,Starlink-550 85,85,-52.8446,-66.7589,527.22
1737768213.035964,Starlink-550 86,86,-48.1542,-42.1039,525.37
1737768213.035964,Starlink-550 87,87,-39.2664,-23.0789,521.72
1737768213.035964,Starlink-550 88,88,-33.8446,-10.465,519.51
1737768213.035964,Starlink-550 89,89,-21.8665,2.2,515.03
1737768213.035964,Starlink-550 90,90,-9.0465,12.85,511.36
1737768213.035964,Starlink-550 91,91,4.0765,22.7643,509.31
1737768213.035964,Starlink-550 92,92,17.0753,33.0111,509.12
1737768213.035964,Starlink-550 93,93,29.4713,44.7583,510.46
1737768213.035964,Starlink-550 94,94,40.5424,59.5701,512.55
1737768213.035964,Starlink-550 95,95,49.0357,79.3782,514.45
1737768213.035964,Starlink-550 96,96,53.0472,104.7085,515.36
1737768213.035964,Starlink-550 97,97,51.1398,131.2567,514.92
1737768213.035964,Starlink-550 98,98,44.0531,153.2309,513.31
1737768213.035964,Starlink-550 99,99,33.7456,169.6594,511.18
1737768213.035964,Starlink-550 100,100,21.7316,-177.6771,509.46
1737768213.035964,Starlink-550 101,101,8.8908,-167.0296,509.02
1737768213.035964,Starlink-550 102,102,-4.2355,-157.1158,510.38
1737768213.035964,Starlink-550 103,103,-17.2197,-146.867,513.52
1737768213.035964,Starlink-550 104,104,-29.5851,-135.1172,517.83
1737768213.035964,Starlink-550 105,105,-40.6134,-120.3092,522.27
1737768213.035964,Starlink-550 106,106,-49.062,-100.5298,525.73
1737768213.035964,Starlink-550 107,107,-53.0476,-75.274,527.3
1737768213.035964,Starlink-550 108,108,-51.1529,-48.8129,526.56
1737768213.035964,Starlink-550 109,109,-44.1069,-26.8834,523.72
1737768213.035964,Starlink-550 110,110,-28.0041,1.2159,517.23
1737768213.035964,Starlink-550 111,111,-15.5232,12.6883,513.03
1737768213.035964,Starlink-550 112,112,-2.4955,22.831,510.1
1737768213.035964,Starlink-550 113,113,10.6183,32.7791,508.99
1737768213.035964,Starlink-550 114,114,23.3852,43.6117,509.64
1737768213.035964,Starlink-550 115,115,35.2344,56.6624,511.47
1737768213.035964,Starlink-550 116,116,45.2186,73.7409,513.58
1737768213.035964,Starlink-550 117,117,51.7287,96.4882,515.06
1737768213.035964,Starlink-550 118,118,52.8428,123.2703,515.31
1737768213.035964,Starlink-550 119,119,48.1226,147.994,514.23
1737768213.035964,Starlink-550 120,120,39.1894,167.043,512.26
1737768213.035964,Starlink-550 121,121,27.8856,-178.6599,510.21
1737768213.035964,Starlink-550 122,122,15.3759,-167.1901,509.03
1737768213.035964,Starlink-550 123,123,2.336,-157.0491,509.46
1737768213.035964,Starlink-550 124,124,-10.7722,-147.1002,511.76
1737768213.035964,Starlink-550 125,125,-23.5162,-136.2649,515.59
1737768213.035964,Starlink-550 126,126,-35.3279,-123.2134,520.1
1737768213.035964,Starlink-550 127,127,-45.2665,-106.1479,524.19
1737768213.035964,Starlink-550 128,128,-51.7381,-83.4515,526.79
1737768213.035964,Starlink-550 129,129,-52.8446,-56.7589,527.22
1737768213.035964,Starlink-550 130,130,-48.1542,-32.1039,525.37
1737768213.035964,Starlink-550 131,131,-39.2664,-13.0789,521.72
