timestamp,mean,median,min,max,count,q25,q75,unreachable_count,total_gs,reachable_count
1735689600,2.2571009632698193,2.024690436392399,1.6985781528183648,9.560836767240245,1000,1.8553655222566876,2.28714217487076,0.0,1000,1000.0
1735689660,2.3389923690697705,2.063384056369883,1.6981035440053842,9.81496903068091,1000,1.8759721330685983,2.3563953821104384,0.0,1000,1000.0
1735689720,2.2595889941791056,2.0414983666082023,1.698423078032128,8.769229157308146,1000,1.8470477293016483,2.38477608289668,0.0,1000,1000.0
1735689780,2.344055994021257,2.0932296411407774,1.701745128046997,14.469267155171904,1000,1.9039027722678297,2.412041252658019,0.0,1000,1000.0
1735689840,2.2762814498010684,2.0539704476470173,1.698326670381947,9.186364373469754,1000,1.8648624718912903,2.3451835229971825,0.0,1000,1000.0
1735689900,2.3066572405080032,2.072877658943666,1.6984815240568187,16.268890748771113,1000,1.892771079740695,2.3825549310343694,0.0,1000,1000.0
1735689960,2.464836329485721,2.104051662196186,1.7025823084453364,9.980004023075889,1000,1.884187523022609,2.4550224356494574,0.0,1000,1000.0
1735690020,2.1774510292116838,1.9946603382999175,1.7030518903391287,9.470014123208363,1000,1.8511134106681364,2.2911336800710513,0.0,1000,1000.0
1735690080,2.2527871138597635,2.086199846794309,1.7029191410895788,6.781765820183723,1000,1.8527417632056162,2.4475162652793427,0.0,1000,1000.0
1735690140,2.305672513037013,2.0234433621697727,1.70981545770878,16.303635584457343,1000,1.8686943457030694,2.3234132439777913,0.0,1000,1000.0
1735690200,2.328716865438033,2.0327542775557124,1.6998955040047217,9.608248866398291,1000,1.8529744418152534,2.288535461829651,0.0,1000,1000.0
1735690260,2.2058141906467035,2.0234406132919727,1.7000196085850736,7.754528094555112,1000,1.849283150692202,2.3240992918385444,0.0,1000,1000.0
1735690320,2.346102014721721,2.058055705732491,1.700922009409694,16.26516960377984,1000,1.8790287687822975,2.372461659089724,0.0,1000,1000.0
1735690380,2.217003952904353,2.0352547118042157,1.700057357885392,9.325213148773257,1000,1.8436679138760907,2.319977087712565,0.0,1000,1000.0
1735690440,2.2990753991608464,2.0450864021558264,1.6987973613761076,9.724203835073943,1000,1.8647392079323555,2.350336644647265,0.0,1000,1000.0
1735690500,2.543763456494251,2.0748986844199493,1.699493220347582,9.849344030675638,1000,1.8735238223089072,2.462691324875489,0.0,1000,1000.0
