source,target,pair_type,delay_factor,shortest_path_delay,target_delay,spare_path_found,spare_path_delay,delay_delta,spare_edges_count,normal_edges_count,shortest_path_dist,spare_path_dist,duration_s
10028,10010,city,1.250000,0.020949,0.026186,True,0.026743,0.000557,3.000000,3.000000,6280216.302000,8017270.762422,6.565641
10028,10010,city,1.500000,0.020949,0.031423,True,0.031117,-0.000305,5.000000,2.000000,6280216.302000,9328754.294281,6.506094
10028,10010,city,2.000000,0.020949,0.041897,True,0.045165,0.003268,7.000000,4.000000,6280216.302000,13540102.400710,6.625466
10064,10028,city,1.250000,0.042475,0.053094,True,0.053615,0.000521,1.000000,8.000000,12733692.387489,16073297.723663,4.962629
10064,10028,city,1.500000,0.042475,0.063713,True,0.063233,-0.000479,6.000000,6.000000,12733692.387489,18956867.419427,5.553562
10064,10028,city,2.000000,0.042475,0.084950,True,0.065082,-0.019868,7.000000,6.000000,12733692.387489,19511133.537828,4.999393
10025,10035,city,1.250000,0.059996,0.074994,True,0.074147,-0.000847,6.000000,10.000000,17986213.894416,22228752.401350,6.198814
10025,10035,city,1.500000,0.059996,0.089993,True,0.092993,0.003000,7.000000,13.000000,17986213.894416,27878680.031687,5.975368
10025,10035,city,2.000000,0.059996,0.119991,True,0.092993,-0.026998,7.000000,13.000000,17986213.894416,27878680.031687,6.430276
10179,10001,city,1.250000,0.057316,0.071645,True,0.076490,0.004845,2.000000,15.000000,17182857.184517,22930989.879770,2.604203
10179,10001,city,1.500000,0.057316,0.085974,True,0.089932,0.003958,2.000000,17.000000,17182857.184517,26960953.248612,2.702675
10179,10001,city,2.000000,0.057316,0.114632,True,0.103642,-0.010990,6.000000,19.000000,17182857.184517,31071009.516358,2.691565
10883,10255,city,1.250000,0.051485,0.064356,True,0.074821,0.010465,2.000000,12.000000,15434765.139444,22430801.051303,3.641628
10883,10255,city,1.500000,0.051485,0.077227,True,0.074821,-0.002406,2.000000,12.000000,15434765.139444,22430801.051303,3.347468
10883,10255,city,2.000000,0.051485,0.102970,True,0.101417,-0.001553,5.000000,17.000000,15434765.139444,30403956.435896,3.368949
10300,10065,city,1.250000,0.006556,0.008195,False,,,,,1965336.142399,,1.855344
10300,10065,city,1.500000,0.006556,0.009833,False,,,,,1965336.142399,,2.124884
10300,10065,city,2.000000,0.006556,0.013111,True,0.020687,0.007576,4.000000,1.000000,1965336.142399,6201838.685553,2.434841
