timestamp,satellite,latitude,longitude,height_km
1737549185.039198,Starlink-550 87,45.2748,-7.7284,513.59
1737549185.039198,Starlink-550 88,40.6083,6.4605,512.56
1737549185.039198,Starlink-550 89,29.5493,21.2988,510.46
1737549185.039198,Starlink-550 90,17.1591,33.0605,509.11
1737549185.039198,Starlink-550 91,4.1626,43.313,509.29
1737549185.039198,Starlink-550 92,-8.9609,53.2261,511.33
1737549185.039198,Starlink-550 93,-21.7845,63.8675,514.99
1737549185.039198,Starlink-550 94,-33.7705,76.5142,519.48
1737549185.039198,Starlink-550 95,-44.0482,92.9017,523.69
1737549185.039198,Starlink-550 96,-51.1215,114.7928,526.55
1737549185.039198,Starlink-550 97,-53.0549,141.2395,527.3
1737549185.039198,Starlink-550 98,-49.1048,166.5231,525.75
1737549185.039198,Starlink-550 99,-40.6789,-173.6599,522.3
1737549185.039198,Starlink-550 100,-29.6627,-158.8256,517.86
1737549185.039198,Starlink-550 101,-17.3034,-147.0614,513.56
1737549185.039198,Starlink-550 102,-4.3216,-136.8069,510.41
1737549185.039198,Starlink-550 103,8.8052,-126.8943,509.03
1737549185.039198,Starlink-550 104,21.6494,-116.2555,509.46
1737549185.039198,Starlink-550 105,33.6711,-103.6103,511.17
1737549185.039198,Starlink-550 106,43.9939,-87.213,513.3
1737549185.039198,Starlink-550 107,51.1082,-65.2776,514.92
1737549185.039198,Starlink-550 108,53.0545,-38.7441,515.36
1737549185.039198,Starlink-550 109,49.0789,-13.3855,514.45
1737549185.039198,Starlink-550 110,35.3074,19.3832,511.48
1737549185.039198,Starlink-550 111,23.4666,32.454,509.64
1737549185.039198,Starlink-550 112,10.7036,43.2962,508.98
1737549185.039198,Starlink-550 113,-2.4094,53.2465,510.08
1737549185.039198,Starlink-550 114,-15.4392,63.3846,513.0
1737549185.039198,Starlink-550 115,-27.9254,74.8439,517.2
1737549185.039198,Starlink-550 116,-39.1987,89.1143,521.69
1737549185.039198,Starlink-550 117,-48.1074,108.1025,525.35
1737549185.039198,Starlink-550 118,-52.8318,132.726,527.22
1737549185.039198,Starlink-550 119,-51.7645,159.4269,526.8
1737549185.039198,Starlink-550 120,-45.3223,-177.8392,524.22
1737549185.039198,Starlink-550 121,-35.4005,-160.7409,520.14
1737549185.039198,Starlink-550 122,-23.5973,-147.6694,515.62
1737549185.039198,Starlink-550 123,-10.8574,-136.8244,511.79
1737549185.039198,Starlink-550 124,2.2498,-126.8733,509.48
1737549185.039198,Starlink-550 125,15.2916,-116.737,509.04
1737549185.039198,Starlink-550 126,27.8065,-105.2804,510.2
1737549185.039198,Starlink-550 127,39.1213,-91.0079,512.25
1737549185.039198,Starlink-550 128,48.0754,-71.996,514.23
1737549185.039198,Starlink-550 129,52.8299,-47.3041,515.31
1737549185.039198,Starlink-550 130,51.7554,-20.5136,515.06
1737549185.039198,Starlink-550 131,45.2748,2.2716,513.59
1737549185.039198,Starlink-550 132,40.6083,16.4605,512.56
1737549185.039198,Starlink-550 133,29.5493,31.2988,510.46
1737549185.039198,Starlink-550 134,17.1591,43.0605,509.11
1737549185.039198,Starlink-550 135,4.1626,53.313,509.29
1737549185.039198,Starlink-550 136,-8.9609,63.2261,511.33
1737549185.039198,Starlink-550 137,-21.7845,73.8675,514.99
1737549185.039198,Starlink-550 138,-33.7705,86.5142,519.48
1737549185.039198,Starlink-550 139,-44.0482,102.9017,523.69
1737549185.039198,Starlink-550 140,-51.1215,124.7928,526.55
1737549185.039198,Starlink-550 141,-53.0549,151.2395,527.3
1737549185.039198,Starlink-550 142,-49.1048,176.5231,525.75
1737549185.039198,Starlink-550 143,-40.6789,-163.6599,522.3
1737549185.039198,Starlink-550 144,-29.6627,-148.8256,517.86
1737549185.039198,Starlink-550 145,-17.3034,-137.0614,513.56
1737549185.039198,Starlink-550 146,-4.3216,-126.8069,510.41
1737549185.039198,Starlink-550 147,8.8052,-116.8943,509.03
1737549185.039198,Starlink-550 148,21.6494,-106.2555,509.46
1737549185.039198,Starlink-550 149,33.6711,-93.6103,511.17
1737549185.039198,Starlink-550 150,43.9939,-77.213,513.3
1737549185.039198,Starlink-550 151,51.1082,-55.2776,514.92
1737549185.039198,Starlink-550 152,53.0545,-28.7441,515.36
1737549185.039198,Starlink-550 153,49.0789,-3.3855,514.45
1737549185.039198,Starlink-550 154,35.3074,29.3832,511.48
1737549185.039198,Starlink-550 155,23.4666,42.454,509.64
1737549185.039198,Starlink-550 156,10.7036,53.2962,508.98
1737549185.039198,Starlink-550 157,-2.4094,63.2465,510.08
1737549185.039198,Starlink-550 158,-15.4392,73.3846,513.0
1737549185.039198,Starlink-550 159,-27.9254,84.8439,517.2
1737549185.039198,Starlink-550 160,-39.1987,99.1143,521.69
1737549185.039198,Starlink-550 161,-48.1074,118.1025,525.35
1737549185.039198,Starlink-550 162,-52.8318,142.726,527.22
1737549185.039198,Starlink-550 163,-51.7645,169.4269,526.8
1737549185.039198,Starlink-550 164,-45.3223,-167.8392,524.22
1737549185.039198,Starlink-550 165,-35.4005,-150.7409,520.14
1737549185.039198,Starlink-550 166,-23.5973,-137.6694,515.62
1737549185.039198,Starlink-550 167,-10.8574,-126.8244,511.79
1737549185.039198,Starlink-550 168,2.2498,-116.8733,509.48
1737549185.039198,Starlink-550 169,15.2916,-106.737,509.04
1737549185.039198,Starlink-550 170,27.8065,-95.2804,510.2
1737549185.039198,Starlink-550 171,39.1213,-81.0079,512.25
1737549185.039198,Starlink-550 172,48.0754,-61.996,514.23
1737549185.039198,Starlink-550 173,52.8299,-37.3041,515.31
1737549185.039198,Starlink-550 174,51.7554,-10.5136,515.06
1737549185.039198,Starlink-550 175,45.2748,12.2716,513.59
1737549185.039198,Starlink-550 176,40.6083,26.4605,512.56
1737549185.039198,Starlink-550 177,29.5493,41.2988,510.46
1737549185.039198,Starlink-550 178,17.1591,53.0605,509.11
1737549185.039198,Starlink-550 179,4.1626,63.313,509.29
1737549185.039198,Starlink-550 180,-8.9609,73.2261,511.33
1737549185.039198,Starlink-550 181,-21.7845,83.8675,514.99
1737549185.039198,Starlink-550 182,-33.7705,96.5142,519.48
1737549185.039198,Starlink-550 183,-44.0482,112.9017,523.69
1737549185.039198,Starlink-550 184,-51.1215,134.7928,526.55
1737549185.039198,Starlink-550 185,-53.0549,161.2395,527.3
1737549185.039198,Starlink-550 186,-49.1048,-173.4769,525.75
1737549185.039198,Starlink-550 187,-40.6789,-153.6599,522.3
1737549185.039198,Starlink-550 188,-29.6627,-138.8256,517.86
1737549185.039198,Starlink-550 189,-17.3034,-127.0614,513.56
1737549185.039198,Starlink-550 190,-4.3216,-116.8069,510.41
1737549185.039198,Starlink-550 191,8.8052,-106.8943,509.03
1737549185.039198,Starlink-550 192,21.6494,-96.2555,509.46
1737549185.039198,Starlink-550 193,33.6711,-83.6103,511.17
1737549185.039198,Starlink-550 194,43.9939,-67.213,513.3
1737549185.039198,Starlink-550 195,51.1082,-45.2776,514.92
1737549185.039198,Starlink-550 196,53.0545,-18.7441,515.36
1737549185.039198,Starlink-550 197,49.0789,6.6145,514.45
1737549185.039198,Starlink-550 198,35.3074,39.3832,511.48
1737549185.039198,Starlink-550 199,23.4666,52.454,509.64
1737549185.039198,Starlink-550 200,10.7036,63.2962,508.98
1737549185.039198,Starlink-550 201,-2.4094,73.2465,510.08
1737549185.039198,Starlink-550 202,-15.4392,83.3846,513.0
1737549185.039198,Starlink-550 203,-27.9254,94.8439,517.2
1737549185.039198,Starlink-550 204,-39.1987,109.1143,521.69
1737549185.039198,Starlink-550 205,-48.1074,128.1025,525.35
1737549185.039198,Starlink-550 206,-52.8318,152.726,527.22
1737549185.039198,Starlink-550 207,-51.7645,179.4269,526.8
1737549185.039198,Starlink-550 208,-45.3223,-157.8392,524.22
1737549185.039198,Starlink-550 209,-35.4005,-140.7409,520.14
1737549185.039198,Starlink-550 210,-23.5973,-127.6694,515.62
1737549185.039198,Starlink-550 211,-10.8574,-116.8244,511.79
1737549185.039198,Starlink-550 212,2.2498,-106.8733,509.48
1737549185.039198,Starlink-550 213,15.2916,-96.737,509.04
1737549185.039198,Starlink-550 214,27.8065,-85.2804,510.2
1737549185.039198,Starlink-550 215,39.1213,-71.0079,512.25
1737549185.039198,Starlink-550 216,48.0754,-51.996,514.23
1737549185.039198,Starlink-550 217,52.8299,-27.3041,515.31
1737549185.039198,Starlink-550 218,51.7554,-0.5136,515.06
1737549185.039198,Starlink-550 219,45.2748,22.2716,513.59
1737549185.039198,Starlink-550 220,40.6083,36.4605,512.56
