source,target,shortest_path_delay,shortest_path_dist,target_delay,spare_path_found,spare_path_delay,spare_path_dist,spare_edges_count,normal_edges_count,duration_s,error
10179,10001,0.056112788924636545,16822190.916951966,0.07014098615579568,True,0.07128234458111835,21369909.29397645,4,12,,
10179,10001,0.056112788924636545,16822190.916951966,0.07014098615579568,True,0.07128234458111835,21369909.29397645,4,12,3.311240113340318,
10179,10001,0.056112788924636545,16822190.916951966,0.07014098615579568,True,0.07128234458111835,21369909.29397645,4,12,3.701084418222308,
10179,10001,0.056112788924636545,16822190.916951966,0.07014098615579568,True,0.07128234458111835,21369909.29397645,4,12,3.3086328813806176,
10179,10001,0.056112788924636545,16822190.916951966,0.08416918338695481,True,0.08464236150596141,25375141.606796756,5,13,3.3508097319863737,
10179,10001,0.056112788924636545,16822190.916951966,0.11222557784927309,True,0.09841623128247992,29504443.883271147,7,15,3.7411989490501583,
10179,10001,0.056112788924636545,16822190.916951966,0.07014098615579568,True,0.07128234458111835,21369909.29397645,4,12,3.5753870718181133,
10179,10001,0.056112788924636545,16822190.916951966,0.08416918338695481,True,0.08464236150596141,25375141.606796756,5,13,3.9992637429386377,
10179,10001,0.056112788924636545,16822190.916951966,0.11222557784927309,True,0.09841623128247992,29504443.883271147,7,15,3.2484154738485813,
10179,10001,0.056112788924636545,16822190.916951966,0.07014098615579568,True,0.07128234458111835,21369909.29397645,4,12,45.51121240621433,
10179,10001,0.056112788924636545,16822190.916951966,0.08416918338695481,True,0.08464236150596141,25375141.606796756,5,13,42.712383281905204,
10179,10001,0.056112788924636545,16822190.916951966,0.11222557784927309,True,0.09841623128247992,29504443.883271147,7,15,45.86249222001061,
10179,10001,0.056112788924636545,16822190.916951966,0.07014098615579568,True,0.07128234458111835,21369909.29397645,4,12,3.4614810552448034,
10179,10001,0.056112788924636545,16822190.916951966,0.08416918338695481,True,0.08464236150596141,25375141.606796756,5,13,3.380125285126269,
10179,10001,0.056112788924636545,16822190.916951966,0.11222557784927309,True,0.09841623128247992,29504443.883271147,7,15,3.525166896171868,
