source,target,delay_factor,shortest_path_delay,target_delay,spare_path_found,spare_path_delay,delay_delta,spare_edges_count,normal_edges_count,shortest_path_dist,spare_path_dist,duration_s
1063,1139,2.000000,0.076570,0.153140,True,0.088569,-0.064571,12.000000,4.000000,22955113.875835,26552186.191107,7.177998
347,714,1.250000,0.100203,0.125254,True,0.126765,0.001511,29.000000,2.000000,30040173.001513,38003066.962814,7.550190
347,714,1.500000,0.100203,0.150305,True,0.131240,-0.019065,33.000000,0.000000,30040173.001513,39344730.807250,7.759572
347,714,2.000000,0.100203,0.200406,True,0.131240,-0.069167,33.000000,0.000000,30040173.001513,39344730.807250,7.870663
1393,1545,1.250000,0.037442,0.046802,True,0.047607,0.000805,9.000000,1.000000,11224729.007976,14272113.410487,3.225445
1393,1545,1.500000,0.037442,0.056162,True,0.055345,-0.000817,9.000000,5.000000,11224729.007976,16592104.643501,3.355105
1393,1545,2.000000,0.037442,0.074883,True,0.080984,0.006101,12.000000,6.000000,11224729.007976,24278441.110229,3.332600
1223,823,1.250000,0.084921,0.106151,True,0.105527,-0.000624,27.000000,2.000000,25458610.457471,31636291.869765,7.564746
1223,823,1.500000,0.084921,0.127381,True,0.116463,-0.010918,28.000000,3.000000,25458610.457471,34914747.677807,7.562057
1223,823,2.000000,0.084921,0.169842,True,0.116463,-0.053379,28.000000,3.000000,25458610.457471,34914747.677807,7.903250
1536,836,1.250000,0.128811,0.161013,True,0.155469,-0.005545,24.000000,16.000000,38616481.876777,46608364.595496,7.029599
1536,836,1.500000,0.128811,0.193216,True,0.155469,-0.037747,24.000000,16.000000,38616481.876777,46608364.595496,7.126774
1536,836,2.000000,0.128811,0.257621,True,0.155469,-0.102153,24.000000,16.000000,38616481.876777,46608364.595496,7.225131
1400,595,1.250000,0.176818,0.221023,True,0.186035,-0.034988,32.000000,14.000000,53008723.470399,55771813.833904,5.626408
1400,595,1.500000,0.176818,0.265227,True,0.186035,-0.079192,32.000000,14.000000,53008723.470399,55771813.833904,5.486585
1400,595,2.000000,0.176818,0.353636,True,0.186035,-0.167601,32.000000,14.000000,53008723.470399,55771813.833904,5.620927
209,589,1.250000,0.093644,0.117055,True,0.117994,0.000939,26.000000,2.000000,28073682.797606,35373632.451325,7.499333
209,589,1.500000,0.093644,0.140466,True,0.138183,-0.002283,27.000000,5.000000,28073682.797606,41426179.593813,7.554301
209,589,2.000000,0.093644,0.187287,True,0.138183,-0.049105,27.000000,5.000000,28073682.797606,41426179.593813,7.979472
1066,1180,1.250000,0.043701,0.054627,True,0.051596,-0.003031,8.000000,2.000000,13101305.041807,15468068.567048,7.260257
1066,1180,1.500000,0.043701,0.065552,True,0.051596,-0.013956,8.000000,2.000000,13101305.041807,15468068.567048,7.261941
1066,1180,2.000000,0.043701,0.087402,True,0.051596,-0.035807,8.000000,2.000000,13101305.041807,15468068.567048,7.109448
286,605,1.250000,0.117871,0.147338,True,0.151447,0.004109,26.000000,10.000000,35336723.838902,45402814.563754,5.597378
286,605,1.500000,0.117871,0.176806,True,0.164480,-0.012326,28.000000,10.000000,35336723.838902,49309778.553434,5.656037
286,605,2.000000,0.117871,0.235741,True,0.164480,-0.071262,28.000000,10.000000,35336723.838902,49309778.553434,5.535317
1338,668,1.250000,0.163506,0.204383,True,0.196066,-0.008317,39.000000,10.000000,49017964.340908,58779043.529275,7.407046
1338,668,1.500000,0.163506,0.245259,True,0.196066,-0.049194,39.000000,10.000000,49017964.340908,58779043.529275,6.911965
1338,668,2.000000,0.163506,0.327013,True,0.196066,-0.130947,39.000000,10.000000,49017964.340908,58779043.529275,6.983318
269,441,1.250000,0.052756,0.065945,True,0.065891,-0.000054,8.000000,9.000000,15815914.924873,19753555.618775,5.650583
269,441,1.500000,0.052756,0.079134,True,0.079989,0.000855,12.000000,9.000000,15815914.924873,23980075.711274,5.363570
269,441,2.000000,0.052756,0.105512,True,0.093061,-0.012452,13.000000,10.000000,15815914.924873,27898952.461618,5.539620
1035,983,1.250000,0.063536,0.079420,True,0.083537,0.004117,6.000000,10.000000,19047661.476898,25043896.965915,3.816615
1035,983,1.500000,0.063536,0.095304,True,0.087729,-0.007575,8.000000,10.000000,19047661.476898,26300518.751027,3.646398
1035,983,2.000000,0.063536,0.127072,True,0.087729,-0.039343,8.000000,10.000000,19047661.476898,26300518.751027,3.599509
433,634,1.250000,0.051294,0.064118,True,0.063721,-0.000396,12.000000,3.000000,15377649.321454,19103204.535797,6.944152
433,634,1.500000,0.051294,0.076941,True,0.076747,-0.000195,15.000000,4.000000,15377649.321454,23008081.773697,6.747973
433,634,2.000000,0.051294,0.102589,True,0.084668,-0.017920,15.000000,4.000000,15377649.321454,25382971.123919,6.814946
