delay_factor,count,mean,std,min,25%,50%,75%,max
1.250,1000.000,5.942,1.763,1.254,5.045,6.621,7.310,8.134
1.500,1000.000,5.955,1.765,1.260,4.998,6.625,7.297,8.170
2.000,1000.000,5.955,1.744,1.264,5.050,6.565,7.294,8.029
