timestamp,satellite,id,latitude,longitude,height_km
1737735673.23795,Starlink-550 82,82,-27.1497,129.7818,516.91
1737735673.23795,Starlink-550 83,83,-14.6118,141.1165,512.77
1737735673.23795,Starlink-550 84,84,-1.564,151.2105,509.96
1737735673.23795,Starlink-550 85,85,11.5401,161.1846,508.98
1737735673.23795,Starlink-550 86,86,24.2635,172.1255,509.74
1737735673.23795,Starlink-550 87,87,36.0182,-174.6035,511.62
1737735673.23795,Starlink-550 88,88,41.2485,-161.5322,512.7
1737735673.23795,Starlink-550 89,89,49.4921,-141.3109,514.55
1737735673.23795,Starlink-550 90,90,53.1123,-115.688,515.37
1737735673.23795,Starlink-550 91,91,50.7863,-89.3128,514.84
1737735673.23795,Starlink-550 92,92,43.4064,-67.7575,513.17
1737735673.23795,Starlink-550 93,93,32.937,-51.6622,511.04
1737735673.23795,Starlink-550 94,94,20.8411,-39.1931,509.38
1737735673.23795,Starlink-550 95,95,7.9646,-28.6355,509.05
1737735673.23795,Starlink-550 96,96,-5.1655,-18.7325,510.55
1737735673.23795,Starlink-550 97,97,-18.1231,-8.4188,513.8
1737735673.23795,Starlink-550 98,98,-30.4216,3.4904,518.15
1737735673.23795,Starlink-550 99,99,-41.3162,18.5876,522.56
1737735673.23795,Starlink-550 100,100,-49.5156,38.7774,525.91
1737735673.23795,Starlink-550 101,101,-53.1123,64.3229,527.32
1737735673.23795,Starlink-550 102,102,-50.8017,90.6128,526.42
1737735673.23795,Starlink-550 103,103,-43.4636,112.1267,523.45
1737735673.23795,Starlink-550 104,104,-33.0389,128.2133,519.19
1737735673.23795,Starlink-550 105,105,-20.9779,140.6842,514.73
1737735673.23795,Starlink-550 106,106,-8.121,151.2442,511.16
1737735673.23795,Starlink-550 107,107,5.007,161.1475,509.23
1737735673.23795,Starlink-550 108,108,17.9803,171.4591,509.17
1737735673.23795,Starlink-550 109,109,30.3106,-176.6342,510.59
1737735673.23795,Starlink-550 110,110,45.8178,-147.1632,513.71
1737735673.23795,Starlink-550 111,111,52.0042,-124.011,515.12
1737735673.23795,Starlink-550 112,112,52.6897,-97.1537,515.28
1737735673.23795,Starlink-550 113,113,47.6034,-72.7823,514.12
1737735673.23795,Starlink-550 114,114,38.4487,-54.1303,512.1
1737735673.23795,Starlink-550 115,115,27.0287,-40.0941,510.09
1737735673.23795,Starlink-550 116,116,14.4631,-28.7621,509.01
1737735673.23795,Starlink-550 117,117,1.4042,-18.6696,509.57
1737735673.23795,Starlink-550 118,118,-11.6929,-8.6946,511.99
1737735673.23795,Starlink-550 119,119,-24.3923,2.2491,515.9
1737735673.23795,Starlink-550 120,120,-36.1085,15.5205,520.42
1737735673.23795,Starlink-550 121,121,-45.8625,32.9459,524.43
1737735673.23795,Starlink-550 122,122,-52.0117,56.0438,526.9
1737735673.23795,Starlink-550 123,123,-52.6926,82.8108,527.16
1737735673.23795,Starlink-550 124,124,-47.638,107.1168,525.16
1737735673.23795,Starlink-550 125,125,-38.5289,125.7472,521.42
1737735673.23795,Starlink-550 126,126,-27.1497,139.7818,516.91
1737735673.23795,Starlink-550 127,127,-14.6118,151.1165,512.77
1737735673.23795,Starlink-550 128,128,-1.564,161.2105,509.96
1737735673.23795,Starlink-550 129,129,11.5401,171.1846,508.98
1737735673.23795,Starlink-550 130,130,24.2635,-177.8745,509.74
1737735673.23795,Starlink-550 131,131,36.0182,-164.6035,511.62
1737735673.23795,Starlink-550 132,132,41.2485,-151.5322,512.7
1737735673.23795,Starlink-550 133,133,49.4921,-131.3109,514.55
1737735673.23795,Starlink-550 134,134,53.1123,-105.688,515.37
1737735673.23795,Starlink-550 135,135,50.7863,-79.3128,514.84
1737735673.23795,Starlink-550 136,136,43.4064,-57.7575,513.17
1737735673.23795,Starlink-550 137,137,32.937,-41.6622,511.04
1737735673.23795,Starlink-550 138,138,20.8411,-29.1931,509.38
1737735673.23795,Starlink-550 139,139,7.9646,-18.6355,509.05
1737735673.23795,Starlink-550 140,140,-5.1655,-8.7325,510.55
1737735673.23795,Starlink-550 141,141,-18.1231,1.5812,513.8
1737735673.23795,Starlink-550 142,142,-30.4216,13.4904,518.15
1737735673.23795,Starlink-550 143,143,-41.3162,28.5876,522.56
1737735673.23795,Starlink-550 144,144,-49.5156,48.7774,525.91
1737735673.23795,Starlink-550 145,145,-53.1123,74.3229,527.32
1737735673.23795,Starlink-550 146,146,-50.8017,100.6128,526.42
1737735673.23795,Starlink-550 147,147,-43.4636,122.1267,523.45
1737735673.23795,Starlink-550 148,148,-33.0389,138.2133,519.19
1737735673.23795,Starlink-550 149,149,-20.9779,150.6842,514.73
1737735673.23795,Starlink-550 150,150,-8.121,161.2442,511.16
1737735673.23795,Starlink-550 151,151,5.007,171.1475,509.23
1737735673.23795,Starlink-550 152,152,17.9803,-178.5409,509.17
1737735673.23795,Starlink-550 153,153,30.3106,-166.6342,510.59
1737735673.23795,Starlink-550 154,154,45.8178,-137.1632,513.71
1737735673.23795,Starlink-550 155,155,52.0042,-114.011,515.12
1737735673.23795,Starlink-550 156,156,52.6897,-87.1537,515.28
1737735673.23795,Starlink-550 157,157,47.6034,-62.7823,514.12
1737735673.23795,Starlink-550 158,158,38.4487,-44.1303,512.1
1737735673.23795,Starlink-550 159,159,27.0287,-30.0941,510.09
1737735673.23795,Starlink-550 160,160,14.4631,-18.7621,509.01
1737735673.23795,Starlink-550 161,161,1.4042,-8.6696,509.57
1737735673.23795,Starlink-550 162,162,-11.6929,1.3054,511.99
1737735673.23795,Starlink-550 163,163,-24.3923,12.2491,515.9
1737735673.23795,Starlink-550 164,164,-36.1085,25.5205,520.42
1737735673.23795,Starlink-550 165,165,-45.8625,42.9459,524.43
1737735673.23795,Starlink-550 166,166,-52.0117,66.0438,526.9
1737735673.23795,Starlink-550 167,167,-52.6926,92.8108,527.16
1737735673.23795,Starlink-550 168,168,-47.638,117.1168,525.16
1737735673.23795,Starlink-550 169,169,-38.5289,135.7472,521.42
1737735673.23795,Starlink-550 170,170,-27.1497,149.7818,516.91
1737735673.23795,Starlink-550 171,171,-14.6118,161.1165,512.77
1737735673.23795,Starlink-550 172,172,-1.564,171.2105,509.96
1737735673.23795,Starlink-550 173,173,11.5401,-178.8154,508.98
1737735673.23795,Starlink-550 174,174,24.2635,-167.8745,509.74
1737735673.23795,Starlink-550 175,175,36.0182,-154.6035,511.62
1737735673.23795,Starlink-550 176,176,41.2485,-141.5322,512.7
1737735673.23795,Starlink-550 177,177,49.4921,-121.3109,514.55
1737735673.23795,Starlink-550 178,178,53.1123,-95.688,515.37
1737735673.23795,Starlink-550 179,179,50.7863,-69.3128,514.84
1737735673.23795,Starlink-550 180,180,43.4064,-47.7575,513.17
1737735673.23795,Starlink-550 181,181,32.937,-31.6622,511.04
1737735673.23795,Starlink-550 182,182,20.8411,-19.1931,509.38
1737735673.23795,Starlink-550 183,183,7.9646,-8.6355,509.05
1737735673.23795,Starlink-550 184,184,-5.1655,1.2675,510.55
1737735673.23795,Starlink-550 185,185,-18.1231,11.5812,513.8
1737735673.23795,Starlink-550 186,186,-30.4216,23.4904,518.15
1737735673.23795,Starlink-550 187,187,-41.3162,38.5876,522.56
1737735673.23795,Starlink-550 188,188,-49.5156,58.7774,525.91
1737735673.23795,Starlink-550 189,189,-53.1123,84.3229,527.32
1737735673.23795,Starlink-550 190,190,-50.8017,110.6128,526.42
1737735673.23795,Starlink-550 191,191,-43.4636,132.1267,523.45
1737735673.23795,Starlink-550 192,192,-33.0389,148.2133,519.19
1737735673.23795,Starlink-550 193,193,-20.9779,160.6842,514.73
1737735673.23795,Starlink-550 194,194,-8.121,171.2442,511.16
1737735673.23795,Starlink-550 195,195,5.007,-178.8525,509.23
1737735673.23795,Starlink-550 196,196,17.9803,-168.5409,509.17
1737735673.23795,Starlink-550 197,197,30.3106,-156.6342,510.59
1737735673.23795,Starlink-550 198,198,45.8178,-127.1632,513.71
1737735673.23795,Starlink-550 199,199,52.0042,-104.011,515.12
1737735673.23795,Starlink-550 200,200,52.6897,-77.1537,515.28
1737735673.23795,Starlink-550 201,201,47.6034,-52.7823,514.12
1737735673.23795,Starlink-550 202,202,38.4487,-34.1303,512.1
1737735673.23795,Starlink-550 203,203,27.0287,-20.0941,510.09
1737735673.23795,Starlink-550 204,204,14.4631,-8.7621,509.01
1737735673.23795,Starlink-550 205,205,1.4042,1.3304,509.57
1737735673.23795,Starlink-550 206,206,-11.6929,11.3054,511.99
1737735673.23795,Starlink-550 207,207,-24.3923,22.2491,515.9
1737735673.23795,Starlink-550 208,208,-36.1085,35.5205,520.42
1737735673.23795,Starlink-550 209,209,-45.8625,52.9459,524.43
1737735673.23795,Starlink-550 210,210,-52.0117,76.0438,526.9
1737735673.23795,Starlink-550 211,211,-52.6926,102.8108,527.16
1737735673.23795,Starlink-550 212,212,-47.638,127.1168,525.16
1737735673.23795,Starlink-550 213,213,-38.5289,145.7472,521.42
1737735673.23795,Starlink-550 214,214,-27.1497,159.7818,516.91
1737735673.23795,Starlink-550 215,215,-14.6118,171.1165,512.77
1737735673.23795,Starlink-550 216,216,-1.564,-178.7895,509.96
1737735673.23795,Starlink-550 217,217,11.5401,-168.8154,508.98
1737735673.23795,Starlink-550 218,218,24.2635,-157.8745,509.74
1737735673.23795,Starlink-550 219,219,36.0182,-144.6035,511.62
1737735673.23795,Starlink-550 220,220,41.2485,-131.5322,512.7
1737735673.23795,Starlink-550 221,221,49.4921,-111.3109,514.55
1737735673.23795,Starlink-550 222,222,53.1123,-85.688,515.37
1737735673.23795,Starlink-550 223,223,50.7863,-59.3128,514.84
1737735673.23795,Starlink-550 224,224,43.4064,-37.7575,513.17
1737735673.23795,Starlink-550 225,225,32.937,-21.6622,511.04
1737735673.23795,Starlink-550 226,226,20.8411,-9.1931,509.38
1737735673.23795,Starlink-550 227,227,7.9646,1.3645,509.05
1737735673.23795,Starlink-550 228,228,-5.1655,11.2675,510.55
1737735673.23795,Starlink-550 229,229,-18.1231,21.5812,513.8
1737735673.23795,Starlink-550 230,230,-30.4216,33.4904,518.15
1737735673.23795,Starlink-550 231,231,-41.3162,48.5876,522.56
1737735673.23795,Starlink-550 232,232,-49.5156,68.7774,525.91
1737735673.23795,Starlink-550 233,233,-53.1123,94.3229,527.32
1737735673.23795,Starlink-550 234,234,-50.8017,120.6128,526.42
1737735673.23795,Starlink-550 235,235,-43.4636,142.1267,523.45
1737735673.23795,Starlink-550 236,236,-33.0389,158.2133,519.19
1737735673.23795,Starlink-550 237,237,-20.9779,170.6842,514.73
1737735673.23795,Starlink-550 238,238,-8.121,-178.7558,511.16
1737735673.23795,Starlink-550 239,239,5.007,-168.8525,509.23
1737735673.23795,Starlink-550 240,240,17.9803,-158.5409,509.17
1737735673.23795,Starlink-550 241,241,30.3106,-146.6342,510.59
1737735673.23795,Starlink-550 242,242,45.8178,-117.1632,513.71
1737735673.23795,Starlink-550 243,243,52.0042,-94.011,515.12
1737735673.23795,Starlink-550 244,244,52.6897,-67.1537,515.28
1737735673.23795,Starlink-550 245,245,47.6034,-42.7823,514.12
1737735673.23795,Starlink-550 246,246,38.4487,-24.1303,512.1
1737735673.23795,Starlink-550 247,247,27.0287,-10.0941,510.09
1737735673.23795,Starlink-550 248,248,14.4631,1.2379,509.01
1737735673.23795,Starlink-550 249,249,1.4042,11.3304,509.57
1737735673.23795,Starlink-550 250,250,-11.6929,21.3054,511.99
1737735673.23795,Starlink-550 251,251,-24.3923,32.2491,515.9
1737735673.23795,Starlink-550 252,252,-36.1085,45.5205,520.42
1737735673.23795,Starlink-550 253,253,-45.8625,62.9459,524.43
1737735673.23795,Starlink-550 254,254,-52.0117,86.0438,526.9
1737735673.23795,Starlink-550 255,255,-52.6926,112.8108,527.16
1737735673.23795,Starlink-550 256,256,-47.638,137.1168,525.16
1737735673.23795,Starlink-550 257,257,-38.5289,155.7472,521.42
1737735673.23795,Starlink-550 258,258,-27.1497,169.7818,516.91
1737735673.23795,Starlink-550 259,259,-14.6118,-178.8835,512.77
1737735673.23795,Starlink-550 260,260,-1.564,-168.7895,509.96
1737735673.23795,Starlink-550 261,261,11.5401,-158.8154,508.98
1737735673.23795,Starlink-550 262,262,24.2635,-147.8745,509.74
1737735673.23795,Starlink-550 263,263,36.0182,-134.6035,511.62
1737735673.23795,Starlink-550 264,264,41.2485,-121.5322,512.7
1737735673.23795,Starlink-550 265,265,49.4921,-101.3109,514.55
1737735673.23795,Starlink-550 266,266,53.1123,-75.688,515.37
1737735673.23795,Starlink-550 267,267,50.7863,-49.3128,514.84
1737735673.23795,Starlink-550 268,268,43.4064,-27.7575,513.17
1737735673.23795,Starlink-550 269,269,32.937,-11.6622,511.04
