source,target,pair_type,delay_factor,shortest_path_delay,target_delay,spare_path_found,spare_path_delay,delay_delta,spare_edges_count,normal_edges_count,shortest_path_dist,spare_path_dist,duration_s
10028,10010,city,1.250000,0.021917,0.027397,True,0.027562,0.000165,3,3,6570675.743565,8262769.230758,6.502376
10028,10010,city,1.500000,0.021917,0.032876,True,0.033221,0.000345,5,3,6570675.743565,9959352.793612,6.495321
10028,10010,city,2.000000,0.021917,0.043835,True,0.040643,-0.003191,4,5,6570675.743565,12184597.256096,6.493343
10064,10028,city,1.250000,0.041375,0.051719,True,0.052194,0.000475,5,6,12404006.863272,15647290.722076,4.444474
10064,10028,city,1.500000,0.041375,0.062063,True,0.062473,0.000410,3,8,12404006.863272,18728850.838512,4.410830
10064,10028,city,2.000000,0.041375,0.082751,True,0.077529,-0.005222,4,10,12404006.863272,23242600.204137,4.413558
10025,10035,city,1.250000,0.055057,0.068821,True,0.070170,0.001349,7,8,16505543.341850,21036469.341762,5.587855
10025,10035,city,1.500000,0.055057,0.082585,True,0.083329,0.000745,10,9,16505543.341850,24981549.594104,5.509267
10025,10035,city,2.000000,0.055057,0.110113,True,0.092531,-0.017582,10,11,16505543.341850,27740003.622325,6.111249
10179,10001,city,1.250000,0.054719,0.068399,True,0.078252,0.009853,3,14,16404386.336980,23459467.470900,2.226279
10179,10001,city,1.500000,0.054719,0.082079,True,0.078252,-0.003826,3,14,16404386.336980,23459467.470900,2.381134
10179,10001,city,2.000000,0.054719,0.109438,True,0.101102,-0.008336,7,16,16404386.336980,30309658.586976,2.263803
10883,10255,city,1.250000,0.052081,0.065101,True,0.074513,0.009411,6,7,15613508.397943,22338366.903309,3.449178
10883,10255,city,1.500000,0.052081,0.078122,True,0.080277,0.002156,2,12,15613508.397943,24066512.477858,3.536271
10883,10255,city,2.000000,0.052081,0.104162,True,0.106960,0.002798,3,19,15613508.397943,32065777.790450,3.522018
10300,10065,city,1.250000,0.007176,0.008970,True,0.009092,0.000122,2,0,2151334.625513,2725612.519380,3.862470
10300,10065,city,1.500000,0.007176,0.010764,True,0.010018,-0.000746,1,0,2151334.625513,3003392.495706,4.806489
10300,10065,city,2.000000,0.007176,0.014352,True,0.010018,-0.004334,1,0,2151334.625513,3003392.495706,5.513130
