source,target,shortest_path_delay,shortest_path_dist,target_delay,spare_path_found,spare_path_delay,spare_path_dist,spare_edges_count,normal_edges_count,duration_s,error
503,840,0.09821811209364495,29445049.244673345,0.12277264011705619,True,0.12342490704046472,37001856.26008242,10,22,6.271837390959263,
503,840,0.09821811209364495,29445049.244673345,0.14732716814046742,True,0.1459572206387421,43756873.93813682,7,27,6.331049406901002,
503,840,0.09821811209364495,29445049.244673345,0.1964362241872899,True,0.15469324015856883,46375866.70312166,9,27,6.308265782892704,
