source,target,shortest_path_delay,shortest_path_dist,target_delay,spare_path_found,spare_path_delay,spare_path_dist,spare_edges_count,normal_edges_count,duration_s,error
1049,1188,0.06765362545617351,20282046.668117628,0.08456703182021688,True,0.08462115295449278,25368783.443021353,11,6,5.509534975979477,
1049,1188,0.06765362545617351,20282046.668117628,0.10148043818426027,True,0.10162220274465936,30465569.948195778,10,11,5.72952897194773,
1049,1188,0.06765362545617351,20282046.668117628,0.13530725091234702,True,0.10273325557891363,30798655.208344735,13,8,5.5182562242262065,
