source,target,pair_type,delay_factor,shortest_path_delay,target_delay,spare_path_found,spare_path_delay,delay_delta,spare_edges_count,normal_edges_count,shortest_path_dist,spare_path_dist,duration_s
10028,10010,city,1.250000,0.022028,0.027535,True,0.027145,-0.000390,4,2,6603731.919271,8137798.703471,6.610464
10028,10010,city,1.500000,0.022028,0.033042,True,0.033059,0.000017,5,2,6603731.919271,9910815.257222,6.721981
10028,10010,city,2.000000,0.022028,0.044055,True,0.040615,-0.003441,4,4,6603731.919271,12175963.218021,6.565066
10064,10028,city,1.250000,0.039931,0.049914,True,0.048788,-0.001126,1,8,11971082.963476,14626374.532570,4.961382
10064,10028,city,1.500000,0.039931,0.059897,True,0.059277,-0.000620,3,8,11971082.963476,17770890.912641,4.755811
10064,10028,city,2.000000,0.039931,0.079862,True,0.076786,-0.003077,3,11,11971082.963476,23019727.790685,4.785845
10025,10035,city,1.250000,0.054975,0.068718,True,0.066960,-0.001759,7,8,16481007.245957,20073973.118253,5.175220
10025,10035,city,1.500000,0.054975,0.082462,True,0.082948,0.000486,8,11,16481007.245957,24867262.544026,5.267718
10025,10035,city,2.000000,0.054975,0.109949,True,0.102321,-0.007628,11,10,16481007.245957,30675184.627185,5.339569
10179,10001,city,1.250000,0.056056,0.070070,True,0.066311,-0.003759,1,16,16805156.815996,19879460.488358,1.870590
10179,10001,city,1.500000,0.056056,0.084084,True,0.083780,-0.000304,2,19,16805156.815996,25116517.725846,1.846256
10179,10001,city,2.000000,0.056056,0.112112,True,0.083780,-0.028332,2,19,16805156.815996,25116517.725846,1.826316
10883,10255,city,1.250000,0.051484,0.064354,True,0.076305,0.011950,6,7,15434378.979404,22875579.217058,2.382852
10883,10255,city,1.500000,0.051484,0.077225,True,0.076305,-0.000921,6,7,15434378.979404,22875579.217058,2.394650
10883,10255,city,2.000000,0.051484,0.102967,True,0.099700,-0.003267,3,15,15434378.979404,29889374.010770,2.469259
10300,10065,city,1.250000,0.006545,0.008181,True,0.008577,0.000396,1,1,1962154.498849,2571265.281471,2.519276
10300,10065,city,1.500000,0.006545,0.009818,True,0.008577,-0.001241,1,1,1962154.498849,2571265.281471,2.467357
10300,10065,city,2.000000,0.006545,0.013090,True,0.014277,0.001187,1,1,1962154.498849,4280045.469848,3.155422
