timestamp,satellite,latitude,longitude,height_km
1737549132.404158,Starlink-550 0,42.5978,-16.8935,512.99
1737549132.404158,Starlink-550 1,31.9409,-1.1908,510.86
1737549132.404158,Starlink-550 2,19.7506,11.0532,509.29
1737549132.404158,Starlink-550 3,6.8341,21.5094,509.11
1737549132.404158,Starlink-550 4,-6.2976,31.4063,510.77
1737549132.404158,Starlink-550 5,-19.2197,41.8071,514.15
1737549132.404158,Starlink-550 6,-31.4319,53.9213,518.55
1737549132.404158,Starlink-550 7,-42.1548,69.3849,522.91
1737549132.404158,Starlink-550 8,-50.037,90.0797,526.12
1737549132.404158,Starlink-550 9,-53.1494,115.9436,527.34
1737549132.404158,Starlink-550 10,-50.3391,141.983,526.24
1737549132.404158,Starlink-550 11,-42.659,162.989,523.12
1737549132.404158,Starlink-550 12,-32.0464,178.6847,518.79
1737549132.404158,Starlink-550 13,-19.8898,-169.0693,514.37
1737549132.404158,Starlink-550 14,-6.9915,-158.6108,510.92
1737549132.404158,Starlink-550 15,6.1398,-148.7138,509.15
1737549132.404158,Starlink-550 16,19.079,-138.3153,509.24
1737549132.404158,Starlink-550 17,31.3242,-126.2033,510.76
1737549132.404158,Starlink-550 18,42.0911,-110.7336,512.88
1737549132.404158,Starlink-550 19,50.0167,-90.0037,514.67
1737549132.404158,Starlink-550 20,53.1497,-64.0591,515.38
1737549132.404158,Starlink-550 21,50.3207,-37.937,514.74
1737549132.404158,Starlink-550 22,37.5311,-3.4853,511.92
1737549132.404158,Starlink-550 23,25.9768,10.2465,509.95
1737549132.404158,Starlink-550 24,13.3472,21.4205,508.98
1737549132.404158,Starlink-550 25,0.2685,31.4611,509.7
1737549132.404158,Starlink-550 26,-12.8124,41.4752,512.28
1737549132.404158,Starlink-550 27,-25.4536,52.5603,516.28
1737549132.404158,Starlink-550 28,-37.0469,66.1121,520.81
1737549132.404158,Starlink-550 29,-46.5647,83.9886,524.72
1737549132.404158,Starlink-550 30,-52.307,107.5633,527.01
1737549132.404158,Starlink-550 31,-52.467,134.3731,527.08
1737549132.404158,Starlink-550 32,-46.9816,158.2322,524.89
1737549132.404158,Starlink-550 33,-37.6152,176.3915,521.04
1737549132.404158,Starlink-550 34,-26.1009,-169.8774,516.52
1737549132.404158,Starlink-550 35,-13.4976,-158.7007,512.46
1737549132.404158,Starlink-550 36,-0.4283,-148.6587,509.8
1737549132.404158,Starlink-550 37,12.6611,-138.6458,508.98
1737549132.404158,Starlink-550 38,25.3277,-127.5636,509.87
1737549132.404158,Starlink-550 39,36.9603,-114.0115,511.81
1737549132.404158,Starlink-550 40,46.5239,-96.1177,513.87
1737549132.404158,Starlink-550 41,52.3015,-72.4845,515.19
1737549132.404158,Starlink-550 42,52.4626,-45.5839,515.23
1737549132.404158,Starlink-550 43,46.9432,-21.6635,513.97
1737549132.404158,Starlink-550 44,42.5978,-6.8935,512.99
1737549132.404158,Starlink-550 45,31.9409,8.8092,510.86
1737549132.404158,Starlink-550 46,19.7506,21.0532,509.29
1737549132.404158,Starlink-550 47,6.8341,31.5094,509.11
1737549132.404158,Starlink-550 48,-6.2976,41.4063,510.77
1737549132.404158,Starlink-550 49,-19.2197,51.8071,514.15
1737549132.404158,Starlink-550 50,-31.4319,63.9213,518.55
1737549132.404158,Starlink-550 51,-42.1548,79.3849,522.91
1737549132.404158,Starlink-550 52,-50.037,100.0797,526.12
1737549132.404158,Starlink-550 53,-53.1494,125.9436,527.34
1737549132.404158,Starlink-550 54,-50.3391,151.983,526.24
1737549132.404158,Starlink-550 55,-42.659,172.989,523.12
1737549132.404158,Starlink-550 56,-32.0464,-171.3153,518.79
1737549132.404158,Starlink-550 57,-19.8898,-159.0693,514.37
1737549132.404158,Starlink-550 58,-6.9915,-148.6108,510.92
1737549132.404158,Starlink-550 59,6.1398,-138.7138,509.15
1737549132.404158,Starlink-550 60,19.079,-128.3153,509.24
1737549132.404158,Starlink-550 61,31.3242,-116.2033,510.76
1737549132.404158,Starlink-550 62,42.0911,-100.7336,512.88
1737549132.404158,Starlink-550 63,50.0167,-80.0037,514.67
1737549132.404158,Starlink-550 64,53.1497,-54.0591,515.38
1737549132.404158,Starlink-550 65,50.3207,-27.937,514.74
1737549132.404158,Starlink-550 66,37.5311,6.5147,511.92
1737549132.404158,Starlink-550 67,25.9768,20.2465,509.95
1737549132.404158,Starlink-550 68,13.3472,31.4205,508.98
1737549132.404158,Starlink-550 69,0.2685,41.4611,509.7
1737549132.404158,Starlink-550 70,-12.8124,51.4752,512.28
1737549132.404158,Starlink-550 71,-25.4536,62.5603,516.28
1737549132.404158,Starlink-550 72,-37.0469,76.1121,520.81
1737549132.404158,Starlink-550 73,-46.5647,93.9886,524.72
1737549132.404158,Starlink-550 74,-52.307,117.5633,527.01
1737549132.404158,Starlink-550 75,-52.467,144.3731,527.08
1737549132.404158,Starlink-550 76,-46.9816,168.2322,524.89
1737549132.404158,Starlink-550 77,-37.6152,-173.6085,521.04
1737549132.404158,Starlink-550 78,-26.1009,-159.8774,516.52
1737549132.404158,Starlink-550 79,-13.4976,-148.7007,512.46
1737549132.404158,Starlink-550 80,-0.4283,-138.6587,509.8
1737549132.404158,Starlink-550 81,12.6611,-128.6458,508.98
1737549132.404158,Starlink-550 82,25.3277,-117.5636,509.87
1737549132.404158,Starlink-550 83,36.9603,-104.0115,511.81
1737549132.404158,Starlink-550 84,46.5239,-86.1177,513.87
1737549132.404158,Starlink-550 85,52.3015,-62.4845,515.19
1737549132.404158,Starlink-550 86,52.4626,-35.5839,515.23
1737549132.404158,Starlink-550 87,46.9432,-11.6635,513.97
1737549132.404158,Starlink-550 88,42.5978,3.1065,512.99
1737549132.404158,Starlink-550 89,31.9409,18.8092,510.86
1737549132.404158,Starlink-550 90,19.7506,31.0532,509.29
1737549132.404158,Starlink-550 91,6.8341,41.5094,509.11
1737549132.404158,Starlink-550 92,-6.2976,51.4063,510.77
1737549132.404158,Starlink-550 93,-19.2197,61.8071,514.15
1737549132.404158,Starlink-550 94,-31.4319,73.9213,518.55
1737549132.404158,Starlink-550 95,-42.1548,89.3849,522.91
1737549132.404158,Starlink-550 96,-50.037,110.0797,526.12
1737549132.404158,Starlink-550 97,-53.1494,135.9436,527.34
1737549132.404158,Starlink-550 98,-50.3391,161.983,526.24
1737549132.404158,Starlink-550 99,-42.659,-177.011,523.12
1737549132.404158,Starlink-550 100,-32.0464,-161.3153,518.79
1737549132.404158,Starlink-550 101,-19.8898,-149.0693,514.37
1737549132.404158,Starlink-550 102,-6.9915,-138.6108,510.92
1737549132.404158,Starlink-550 103,6.1398,-128.7138,509.15
1737549132.404158,Starlink-550 104,19.079,-118.3153,509.24
1737549132.404158,Starlink-550 105,31.3242,-106.2033,510.76
1737549132.404158,Starlink-550 106,42.0911,-90.7336,512.88
1737549132.404158,Starlink-550 107,50.0167,-70.0037,514.67
1737549132.404158,Starlink-550 108,53.1497,-44.0591,515.38
1737549132.404158,Starlink-550 109,50.3207,-17.937,514.74
1737549132.404158,Starlink-550 110,37.5311,16.5147,511.92
1737549132.404158,Starlink-550 111,25.9768,30.2465,509.95
1737549132.404158,Starlink-550 112,13.3472,41.4205,508.98
1737549132.404158,Starlink-550 113,0.2685,51.4611,509.7
1737549132.404158,Starlink-550 114,-12.8124,61.4752,512.28
1737549132.404158,Starlink-550 115,-25.4536,72.5603,516.28
1737549132.404158,Starlink-550 116,-37.0469,86.1121,520.81
1737549132.404158,Starlink-550 117,-46.5647,103.9886,524.72
1737549132.404158,Starlink-550 118,-52.307,127.5633,527.01
1737549132.404158,Starlink-550 119,-52.467,154.3731,527.08
1737549132.404158,Starlink-550 120,-46.9816,178.2322,524.89
1737549132.404158,Starlink-550 121,-37.6152,-163.6085,521.04
1737549132.404158,Starlink-550 122,-26.1009,-149.8774,516.52
1737549132.404158,Starlink-550 123,-13.4976,-138.7007,512.46
1737549132.404158,Starlink-550 124,-0.4283,-128.6587,509.8
1737549132.404158,Starlink-550 125,12.6611,-118.6458,508.98
1737549132.404158,Starlink-550 126,25.3277,-107.5636,509.87
1737549132.404158,Starlink-550 127,36.9603,-94.0115,511.81
1737549132.404158,Starlink-550 128,46.5239,-76.1177,513.87
1737549132.404158,Starlink-550 129,52.3015,-52.4845,515.19
1737549132.404158,Starlink-550 130,52.4626,-25.5839,515.23
1737549132.404158,Starlink-550 131,46.9432,-1.6635,513.97
1737549132.404158,Starlink-550 132,42.5978,13.1065,512.99
1737549132.404158,Starlink-550 133,31.9409,28.8092,510.86
1737549132.404158,Starlink-550 134,19.7506,41.0532,509.29
1737549132.404158,Starlink-550 135,6.8341,51.5094,509.11
1737549132.404158,Starlink-550 136,-6.2976,61.4063,510.77
1737549132.404158,Starlink-550 137,-19.2197,71.8071,514.15
1737549132.404158,Starlink-550 138,-31.4319,83.9213,518.55
1737549132.404158,Starlink-550 139,-42.1548,99.3849,522.91
1737549132.404158,Starlink-550 140,-50.037,120.0797,526.12
1737549132.404158,Starlink-550 141,-53.1494,145.9436,527.34
1737549132.404158,Starlink-550 142,-50.3391,171.983,526.24
1737549132.404158,Starlink-550 143,-42.659,-167.011,523.12
1737549132.404158,Starlink-550 144,-32.0464,-151.3153,518.79
1737549132.404158,Starlink-550 145,-19.8898,-139.0693,514.37
1737549132.404158,Starlink-550 146,-6.9915,-128.6108,510.92
1737549132.404158,Starlink-550 147,6.1398,-118.7138,509.15
1737549132.404158,Starlink-550 148,19.079,-108.3153,509.24
1737549132.404158,Starlink-550 149,31.3242,-96.2033,510.76
1737549132.404158,Starlink-550 150,42.0911,-80.7336,512.88
1737549132.404158,Starlink-550 151,50.0167,-60.0037,514.67
1737549132.404158,Starlink-550 152,53.1497,-34.0591,515.38
1737549132.404158,Starlink-550 153,50.3207,-7.937,514.74
1737549132.404158,Starlink-550 154,37.5311,26.5147,511.92
1737549132.404158,Starlink-550 155,25.9768,40.2465,509.95
1737549132.404158,Starlink-550 156,13.3472,51.4205,508.98
1737549132.404158,Starlink-550 157,0.2685,61.4611,509.7
1737549132.404158,Starlink-550 158,-12.8124,71.4752,512.28
1737549132.404158,Starlink-550 159,-25.4536,82.5603,516.28
1737549132.404158,Starlink-550 160,-37.0469,96.1121,520.81
1737549132.404158,Starlink-550 161,-46.5647,113.9886,524.72
1737549132.404158,Starlink-550 162,-52.307,137.5633,527.01
1737549132.404158,Starlink-550 163,-52.467,164.3731,527.08
1737549132.404158,Starlink-550 164,-46.9816,-171.7678,524.89
1737549132.404158,Starlink-550 165,-37.6152,-153.6085,521.04
1737549132.404158,Starlink-550 166,-26.1009,-139.8774,516.52
1737549132.404158,Starlink-550 167,-13.4976,-128.7007,512.46
1737549132.404158,Starlink-550 168,-0.4283,-118.6587,509.8
1737549132.404158,Starlink-550 169,12.6611,-108.6458,508.98
1737549132.404158,Starlink-550 170,25.3277,-97.5636,509.87
1737549132.404158,Starlink-550 171,36.9603,-84.0115,511.81
1737549132.404158,Starlink-550 172,46.5239,-66.1177,513.87
1737549132.404158,Starlink-550 173,52.3015,-42.4845,515.19
1737549132.404158,Starlink-550 174,52.4626,-15.5839,515.23
1737549132.404158,Starlink-550 175,46.9432,8.3365,513.97
1737549132.404158,Starlink-550 176,42.5978,23.1065,512.99
1737549132.404158,Starlink-550 177,31.9409,38.8092,510.86
1737549132.404158,Starlink-550 178,19.7506,51.0532,509.29
1737549132.404158,Starlink-550 179,6.8341,61.5094,509.11
1737549132.404158,Starlink-550 180,-6.2976,71.4063,510.77
1737549132.404158,Starlink-550 181,-19.2197,81.8071,514.15
1737549132.404158,Starlink-550 182,-31.4319,93.9213,518.55
1737549132.404158,Starlink-550 183,-42.1548,109.3849,522.91
1737549132.404158,Starlink-550 184,-50.037,130.0797,526.12
1737549132.404158,Starlink-550 185,-53.1494,155.9436,527.34
1737549132.404158,Starlink-550 186,-50.3391,-178.017,526.24
1737549132.404158,Starlink-550 187,-42.659,-157.011,523.12
1737549132.404158,Starlink-550 188,-32.0464,-141.3153,518.79
1737549132.404158,Starlink-550 189,-19.8898,-129.0693,514.37
1737549132.404158,Starlink-550 190,-6.9915,-118.6108,510.92
1737549132.404158,Starlink-550 191,6.1398,-108.7138,509.15
1737549132.404158,Starlink-550 192,19.079,-98.3153,509.24
1737549132.404158,Starlink-550 193,31.3242,-86.2033,510.76
1737549132.404158,Starlink-550 194,42.0911,-70.7336,512.88
1737549132.404158,Starlink-550 195,50.0167,-50.0037,514.67
1737549132.404158,Starlink-550 196,53.1497,-24.0591,515.38
1737549132.404158,Starlink-550 197,50.3207,2.063,514.74
1737549132.404158,Starlink-550 198,37.5311,36.5147,511.92
1737549132.404158,Starlink-550 199,25.9768,50.2465,509.95
1737549132.404158,Starlink-550 200,13.3472,61.4205,508.98
1737549132.404158,Starlink-550 201,0.2685,71.4611,509.7
1737549132.404158,Starlink-550 202,-12.8124,81.4752,512.28
1737549132.404158,Starlink-550 203,-25.4536,92.5603,516.28
1737549132.404158,Starlink-550 204,-37.0469,106.1121,520.81
1737549132.404158,Starlink-550 205,-46.5647,123.9886,524.72
1737549132.404158,Starlink-550 206,-52.307,147.5633,527.01
1737549132.404158,Starlink-550 207,-52.467,174.3731,527.08
1737549132.404158,Starlink-550 208,-46.9816,-161.7678,524.89
1737549132.404158,Starlink-550 209,-37.6152,-143.6085,521.04
1737549132.404158,Starlink-550 210,-26.1009,-129.8774,516.52
1737549132.404158,Starlink-550 211,-13.4976,-118.7007,512.46
1737549132.404158,Starlink-550 212,-0.4283,-108.6587,509.8
1737549132.404158,Starlink-550 213,12.6611,-98.6458,508.98
1737549132.404158,Starlink-550 214,25.3277,-87.5636,509.87
1737549132.404158,Starlink-550 215,36.9603,-74.0115,511.81
1737549132.404158,Starlink-550 216,46.5239,-56.1177,513.87
1737549132.404158,Starlink-550 217,52.3015,-32.4845,515.19
1737549132.404158,Starlink-550 218,52.4626,-5.5839,515.23
1737549132.404158,Starlink-550 219,46.9432,18.3365,513.97
1737549132.404158,Starlink-550 220,42.5978,33.1065,512.99
1737549132.404158,Starlink-550 221,31.9409,48.8092,510.86
1737549132.404158,Starlink-550 222,19.7506,61.0532,509.29
1737549132.404158,Starlink-550 223,6.8341,71.5094,509.11
1737549132.404158,Starlink-550 224,-6.2976,81.4063,510.77
1737549132.404158,Starlink-550 225,-19.2197,91.8071,514.15
1737549132.404158,Starlink-550 226,-31.4319,103.9213,518.55
1737549132.404158,Starlink-550 227,-42.1548,119.3849,522.91
1737549132.404158,Starlink-550 228,-50.037,140.0797,526.12
1737549132.404158,Starlink-550 229,-53.1494,165.9436,527.34
1737549132.404158,Starlink-550 230,-50.3391,-168.017,526.24
1737549132.404158,Starlink-550 231,-42.659,-147.011,523.12
1737549132.404158,Starlink-550 232,-32.0464,-131.3153,518.79
1737549132.404158,Starlink-550 233,-19.8898,-119.0693,514.37
1737549132.404158,Starlink-550 234,-6.9915,-108.6108,510.92
1737549132.404158,Starlink-550 235,6.1398,-98.7138,509.15
1737549132.404158,Starlink-550 236,19.079,-88.3153,509.24
1737549132.404158,Starlink-550 237,31.3242,-76.2033,510.76
1737549132.404158,Starlink-550 238,42.0911,-60.7336,512.88
1737549132.404158,Starlink-550 239,50.0167,-40.0037,514.67
1737549132.404158,Starlink-550 240,53.1497,-14.0591,515.38
1737549132.404158,Starlink-550 241,50.3207,12.063,514.74
1737549132.404158,Starlink-550 242,37.5311,46.5147,511.92
1737549132.404158,Starlink-550 243,25.9768,60.2465,509.95
1737549132.404158,Starlink-550 244,13.3472,71.4205,508.98
1737549132.404158,Starlink-550 245,0.2685,81.4611,509.7
1737549132.404158,Starlink-550 246,-12.8124,91.4752,512.28
1737549132.404158,Starlink-550 247,-25.4536,102.5603,516.28
1737549132.404158,Starlink-550 248,-37.0469,116.1121,520.81
1737549132.404158,Starlink-550 249,-46.5647,133.9886,524.72
1737549132.404158,Starlink-550 250,-52.307,157.5633,527.01
1737549132.404158,Starlink-550 251,-52.467,-175.6269,527.08
1737549132.404158,Starlink-550 252,-46.9816,-151.7678,524.89
1737549132.404158,Starlink-550 253,-37.6152,-133.6085,521.04
1737549132.404158,Starlink-550 254,-26.1009,-119.8774,516.52
1737549132.404158,Starlink-550 255,-13.4976,-108.7007,512.46
1737549132.404158,Starlink-550 256,-0.4283,-98.6587,509.8
1737549132.404158,Starlink-550 257,12.6611,-88.6458,508.98
1737549132.404158,Starlink-550 258,25.3277,-77.5636,509.87
1737549132.404158,Starlink-550 259,36.9603,-64.0115,511.81
1737549132.404158,Starlink-550 260,46.5239,-46.1177,513.87
1737549132.404158,Starlink-550 261,52.3015,-22.4845,515.19
1737549132.404158,Starlink-550 262,52.4626,4.4161,515.23
1737549132.404158,Starlink-550 263,46.9432,28.3365,513.97
1737549132.404158,Starlink-550 264,42.5978,43.1065,512.99
1737549132.404158,Starlink-550 265,31.9409,58.8092,510.86
1737549132.404158,Starlink-550 266,19.7506,71.0532,509.29
1737549132.404158,Starlink-550 267,6.8341,81.5094,509.11
1737549132.404158,Starlink-550 268,-6.2976,91.4063,510.77
1737549132.404158,Starlink-550 269,-19.2197,101.8071,514.15
1737549132.404158,Starlink-550 270,-31.4319,113.9213,518.55
1737549132.404158,Starlink-550 271,-42.1548,129.3849,522.91
1737549132.404158,Starlink-550 272,-50.037,150.0797,526.12
1737549132.404158,Starlink-550 273,-53.1494,175.9436,527.34
1737549132.404158,Starlink-550 274,-50.3391,-158.017,526.24
1737549132.404158,Starlink-550 275,-42.659,-137.011,523.12
1737549132.404158,Starlink-550 276,-32.0464,-121.3153,518.79
1737549132.404158,Starlink-550 277,-19.8898,-109.0693,514.37
1737549132.404158,Starlink-550 278,-6.9915,-98.6108,510.92
1737549132.404158,Starlink-550 279,6.1398,-88.7138,509.15
1737549132.404158,Starlink-550 280,19.079,-78.3153,509.24
1737549132.404158,Starlink-550 281,31.3242,-66.2033,510.76
1737549132.404158,Starlink-550 282,42.0911,-50.7336,512.88
1737549132.404158,Starlink-550 283,50.0167,-30.0037,514.67
1737549132.404158,Starlink-550 284,53.1497,-4.0591,515.38
1737549132.404158,Starlink-550 285,50.3207,22.063,514.74
1737549132.404158,Starlink-550 286,37.5311,56.5147,511.92
1737549132.404158,Starlink-550 287,25.9768,70.2465,509.95
1737549132.404158,Starlink-550 288,13.3472,81.4205,508.98
1737549132.404158,Starlink-550 289,0.2685,91.4611,509.7
1737549132.404158,Starlink-550 290,-12.8124,101.4752,512.28
1737549132.404158,Starlink-550 291,-25.4536,112.5603,516.28
1737549132.404158,Starlink-550 292,-37.0469,126.1121,520.81
1737549132.404158,Starlink-550 293,-46.5647,143.9886,524.72
1737549132.404158,Starlink-550 294,-52.307,167.5633,527.01
1737549132.404158,Starlink-550 295,-52.467,-165.6269,527.08
1737549132.404158,Starlink-550 296,-46.9816,-141.7678,524.89
1737549132.404158,Starlink-550 297,-37.6152,-123.6085,521.04
1737549132.404158,Starlink-550 298,-26.1009,-109.8774,516.52
1737549132.404158,Starlink-550 299,-13.4976,-98.7007,512.46
1737549132.404158,Starlink-550 300,-0.4283,-88.6587,509.8
1737549132.404158,Starlink-550 301,12.6611,-78.6458,508.98
1737549132.404158,Starlink-550 302,25.3277,-67.5636,509.87
1737549132.404158,Starlink-550 303,36.9603,-54.0115,511.81
1737549132.404158,Starlink-550 304,46.5239,-36.1177,513.87
1737549132.404158,Starlink-550 305,52.3015,-12.4845,515.19
1737549132.404158,Starlink-550 306,52.4626,14.4161,515.23
1737549132.404158,Starlink-550 307,46.9432,38.3365,513.97
1737549132.404158,Starlink-550 308,42.5978,53.1065,512.99
1737549132.404158,Starlink-550 309,31.9409,68.8092,510.86
1737549132.404158,Starlink-550 310,19.7506,81.0532,509.29
