source,target,pair_type,delay_factor,shortest_path_delay,target_delay,spare_path_found,spare_path_delay,delay_delta,spare_edges_count,normal_edges_count,shortest_path_dist,spare_path_dist,duration_s
10028,10010,city,1.250000,0.021071,0.026338,True,0.026830,0.000492,4,2,6316796.914845,8043500.235394,6.703835
10028,10010,city,1.500000,0.021071,0.031606,True,0.031601,-0.000005,5,2,6316796.914845,9473814.206365,6.657528
10028,10010,city,2.000000,0.021071,0.042141,True,0.038037,-0.004104,5,3,6316796.914845,11403128.399109,6.858812
10064,10028,city,1.250000,0.041137,0.051422,True,0.052777,0.001356,4,8,12332688.809168,15822249.109993,5.737117
10064,10028,city,1.500000,0.041137,0.061706,True,0.061428,-0.000278,5,7,12332688.809168,18415765.257428,5.547886
10064,10028,city,2.000000,0.041137,0.082275,True,0.071689,-0.010586,6,9,12332688.809168,21491849.247903,5.706222
10025,10035,city,1.250000,0.059662,0.074577,True,0.079603,0.005026,3,13,17886194.430532,23864472.382442,1.814989
10025,10035,city,1.500000,0.059662,0.089493,True,0.093108,0.003615,5,15,17886194.430532,27913187.440323,1.753466
10025,10035,city,2.000000,0.059662,0.119324,True,0.093108,-0.026215,5,15,17886194.430532,27913187.440323,1.751607
10179,10001,city,1.250000,0.055859,0.069824,True,0.071011,0.001187,4,13,16746088.109095,21288445.357570,5.057605
10179,10001,city,1.500000,0.055859,0.083788,True,0.084135,0.000347,6,13,16746088.109095,25223090.676933,5.147585
10179,10001,city,2.000000,0.055859,0.111718,True,0.093256,-0.018462,5,16,16746088.109095,27957459.647036,5.008140
10883,10255,city,1.250000,0.052103,0.065129,True,0.075226,0.010097,6,7,15620063.097264,22552219.352852,2.347244
10883,10255,city,1.500000,0.052103,0.078154,True,0.075226,-0.002928,6,7,15620063.097264,22552219.352852,2.462116
10883,10255,city,2.000000,0.052103,0.104206,True,0.094902,-0.009304,9,10,15620063.097264,28450871.090514,2.297571
10300,10065,city,1.250000,0.006699,0.008374,True,0.008625,0.000251,2,0,2008347.814923,2585746.062530,2.524010
10300,10065,city,1.500000,0.006699,0.010049,True,0.008625,-0.001424,2,0,2008347.814923,2585746.062530,2.391659
10300,10065,city,2.000000,0.006699,0.013398,True,0.016793,0.003394,4,0,2008347.814923,5034321.169480,2.472652
