source,target,pair_type,delay_factor,shortest_path_delay,target_delay,spare_path_found,spare_path_delay,delay_delta,spare_edges_count,normal_edges_count,shortest_path_dist,spare_path_dist,duration_s
10028,10010,city,1.250000,0.021005,0.026256,True,0.027290,0.001033,2.000000,4.000000,6297168.044784,8181201.457460,5.117849
10028,10010,city,1.500000,0.021005,0.031508,True,0.030917,-0.000590,3.000000,4.000000,6297168.044784,9268756.418526,5.041659
10028,10010,city,2.000000,0.021005,0.042010,True,0.039875,-0.002135,4.000000,5.000000,6297168.044784,11954132.232837,5.204822
10064,10028,city,1.250000,0.040400,0.050500,True,0.050817,0.000317,1.000000,8.000000,12111706.894673,15234593.486349,3.807795
10064,10028,city,1.500000,0.040400,0.060600,True,0.060303,-0.000298,2.000000,9.000000,12111706.894673,18078291.614471,3.610731
10064,10028,city,2.000000,0.040400,0.080801,True,0.080487,-0.000314,6.000000,9.000000,12111706.894673,24129356.265352,3.633289
10025,10035,city,1.250000,0.063503,0.079379,True,0.077746,-0.001633,9.000000,7.000000,19037863.950852,23307652.371890,5.985128
10025,10035,city,1.500000,0.063503,0.095255,True,0.095956,0.000701,12.000000,8.000000,19037863.950852,28766808.530460,6.616799
10025,10035,city,2.000000,0.063503,0.127007,True,0.117520,-0.009487,12.000000,14.000000,19037863.950852,35231654.395632,5.917980
10179,10001,city,1.250000,0.055622,0.069528,True,0.069888,0.000361,1.000000,15.000000,16675087.963556,20951980.894895,2.236971
10179,10001,city,1.500000,0.055622,0.083433,True,0.083529,0.000096,2.000000,16.000000,16675087.963556,25041334.006119,2.250089
10179,10001,city,2.000000,0.055622,0.111244,True,0.097125,-0.014119,4.000000,18.000000,16675087.963556,29117379.860678,2.104231
10883,10255,city,1.250000,0.051516,0.064395,False,,,,,15444081.922613,,1.363282
10883,10255,city,1.500000,0.051516,0.077274,False,,,,,15444081.922613,,1.397339
10883,10255,city,2.000000,0.051516,0.103032,False,,,,,15444081.922613,,1.347296
10300,10065,city,1.250000,0.006582,0.008227,False,,,,,1973149.575275,,1.795397
10300,10065,city,1.500000,0.006582,0.009873,False,,,,,1973149.575275,,2.053005
10300,10065,city,2.000000,0.006582,0.013163,True,0.020221,0.007058,3.000000,1.000000,1973149.575275,6062146.057362,2.272361
