source,target,pair_type,delay_factor,shortest_path_delay,target_delay,spare_path_found,spare_path_delay,delay_delta,spare_edges_count,normal_edges_count,shortest_path_dist,spare_path_dist,duration_s
10028,10010,city,1.250000,0.021565,0.026956,True,0.027100,0.000144,3,3,6465032.995229,8124409.146422,7.036929
10028,10010,city,1.500000,0.021565,0.032348,True,0.032716,0.000368,3,4,6465032.995229,9807863.695236,7.254216
10028,10010,city,2.000000,0.021565,0.043130,True,0.038777,-0.004353,5,3,6465032.995229,11625142.006348,6.722504
10064,10028,city,1.250000,0.040362,0.050452,True,0.052589,0.002137,2,7,12100082.856573,15765641.613372,5.878946
10064,10028,city,1.500000,0.040362,0.060542,True,0.060713,0.000171,6,6,12100082.856573,18201346.979091,6.484608
10064,10028,city,2.000000,0.040362,0.080723,True,0.071125,-0.009598,5,10,12100082.856573,21322822.435788,6.074305
10025,10035,city,1.250000,0.059171,0.073964,True,0.073184,-0.000779,8,8,17738971.112559,21940116.707584,5.892178
10025,10035,city,1.500000,0.059171,0.088756,True,0.087734,-0.001022,3,17,17738971.112559,26302029.420867,6.204011
10025,10035,city,2.000000,0.059171,0.118342,True,0.105347,-0.012995,8,16,17738971.112559,31582274.517909,5.961990
10179,10001,city,1.250000,0.056053,0.070066,True,0.071262,0.001195,4,12,16804325.258594,21363678.003044,3.310154
10179,10001,city,1.500000,0.056053,0.084080,True,0.084606,0.000526,5,13,16804325.258594,25364224.805333,3.320216
10179,10001,city,2.000000,0.056053,0.112106,True,0.098342,-0.013764,7,15,16804325.258594,29482196.777864,3.349774
10883,10255,city,1.250000,0.051877,0.064846,True,0.079197,0.014351,6,7,15552235.293973,23742672.602841,2.450698
10883,10255,city,1.500000,0.051877,0.077815,True,0.079197,0.001382,6,7,15552235.293973,23742672.602841,2.567820
10883,10255,city,2.000000,0.051877,0.103753,True,0.103647,-0.000106,4,14,15552235.293973,31072674.287972,2.493228
10300,10065,city,1.250000,0.006554,0.008192,True,0.008571,0.000379,2,0,1964767.793806,2569574.145724,2.796801
10300,10065,city,1.500000,0.006554,0.009831,True,0.008571,-0.001259,2,0,1964767.793806,2569574.145724,2.823669
10300,10065,city,2.000000,0.006554,0.013108,True,0.016700,0.003593,4,0,1964767.793806,5006597.144911,3.031943
