source,target,pair_type,delay_factor,shortest_path_delay,target_delay,spare_path_found,spare_path_delay,delay_delta,spare_edges_count,normal_edges_count,shortest_path_dist,spare_path_dist,duration_s
10028,10010,city,1.250000,0.021549,0.026937,True,0.027192,0.000255,2,4,6460317.088975,8151938.462110,6.284652
10028,10010,city,1.500000,0.021549,0.032324,True,0.030821,-0.001503,3,4,6460317.088975,9239788.268008,6.190373
10028,10010,city,2.000000,0.021549,0.043099,True,0.047215,0.004117,6,6,6460317.088975,14154751.118941,6.047557
10064,10028,city,1.250000,0.041072,0.051340,True,0.052125,0.000785,1,8,12313095.880708,15626818.125504,2.041278
10064,10028,city,1.500000,0.041072,0.061608,True,0.061384,-0.000224,2,9,12313095.880708,18402523.598870,2.039466
10064,10028,city,2.000000,0.041072,0.082144,True,0.070970,-0.011174,3,10,12313095.880708,21276297.118974,1.952528
10025,10035,city,1.250000,0.059281,0.074101,True,0.073875,-0.000225,6,10,17771881.031146,22147300.569640,6.159725
10025,10035,city,1.500000,0.059281,0.088921,True,0.088156,-0.000765,4,16,17771881.031146,26428360.364984,6.225231
10025,10035,city,2.000000,0.059281,0.118561,True,0.113999,-0.004563,6,19,17771881.031146,34175903.415224,5.936318
10179,10001,city,1.250000,0.055955,0.069944,True,0.070992,0.001047,3,13,16774982.626076,21282735.152073,3.358957
10179,10001,city,1.500000,0.055955,0.083933,True,0.084363,0.000430,4,14,16774982.626076,25291405.980696,3.325096
10179,10001,city,2.000000,0.055955,0.111911,True,0.098146,-0.013764,7,15,16774982.626076,29423503.128220,3.297849
10883,10255,city,1.250000,0.051978,0.064972,True,0.076321,0.011349,6,7,15582570.713847,22880482.759659,2.546936
10883,10255,city,1.500000,0.051978,0.077967,True,0.076321,-0.001646,6,7,15582570.713847,22880482.759659,2.348255
10883,10255,city,2.000000,0.051978,0.103956,True,0.101767,-0.002189,3,15,15582570.713847,30508861.131220,2.701619
10300,10065,city,1.250000,0.006828,0.008535,True,0.014495,0.005960,1,1,2047088.804288,4345501.007090,2.106227
10300,10065,city,1.500000,0.006828,0.010243,True,0.014495,0.004253,1,1,2047088.804288,4345501.007090,2.680735
10300,10065,city,2.000000,0.006828,0.013657,True,0.014495,0.000838,1,1,2047088.804288,4345501.007090,3.436976
