source,target,pair_type,delay_factor,shortest_path_delay,target_delay,spare_path_found,spare_path_delay,delay_delta,spare_edges_count,normal_edges_count,shortest_path_dist,spare_path_dist,duration_s
10028,10010,city,1.250000,0.021733,0.027166,True,0.027532,0.000366,5.000000,1.000000,6515302.694497,8253866.493213,6.723057
10028,10010,city,1.500000,0.021733,0.032599,True,0.032940,0.000341,5.000000,2.000000,6515302.694497,9875193.197243,6.607481
10028,10010,city,2.000000,0.021733,0.043465,True,0.045760,0.002294,6.000000,4.000000,6515302.694497,13718463.274249,6.690450
10064,10028,city,1.250000,0.040151,0.050188,True,0.051354,0.001166,1.000000,8.000000,12036829.390975,15395497.412868,2.976688
10064,10028,city,1.500000,0.040151,0.060226,True,0.060396,0.000170,3.000000,9.000000,12036829.390975,18106203.151860,3.059501
10064,10028,city,2.000000,0.040151,0.080301,True,0.065646,-0.014655,5.000000,9.000000,12036829.390975,19680161.393370,2.842667
10025,10035,city,1.250000,0.059264,0.074080,True,0.074106,0.000026,3.000000,13.000000,17766937.747477,22216427.082208,4.837821
10025,10035,city,1.500000,0.059264,0.088896,True,0.087501,-0.001395,5.000000,15.000000,17766937.747477,26232230.682761,4.920786
10025,10035,city,2.000000,0.059264,0.118528,True,0.113451,-0.005078,5.000000,19.000000,17766937.747477,34011671.896736,5.189864
10179,10001,city,1.250000,0.056007,0.070008,True,0.070959,0.000951,4.000000,12.000000,16790382.128924,21272967.982449,3.359769
10179,10001,city,1.500000,0.056007,0.084010,True,0.084190,0.000180,4.000000,16.000000,16790382.128924,25239527.761652,3.539846
10179,10001,city,2.000000,0.056007,0.112013,True,0.093463,-0.018550,6.000000,16.000000,16790382.128924,28019468.587103,3.520006
10883,10255,city,1.250000,0.051610,0.064512,False,,,,,15472264.541668,,1.391733
10883,10255,city,1.500000,0.051610,0.077415,False,,,,,15472264.541668,,1.351010
10883,10255,city,2.000000,0.051610,0.103220,False,,,,,15472264.541668,,1.349255
10300,10065,city,1.250000,0.006567,0.008209,True,0.008580,0.000372,2.000000,0.000000,1968682.389711,2572349.573036,2.581851
10300,10065,city,1.500000,0.006567,0.009850,True,0.008580,-0.001270,2.000000,0.000000,1968682.389711,2572349.573036,2.694320
10300,10065,city,2.000000,0.006567,0.013134,True,0.016634,0.003500,2.000000,1.000000,1968682.389711,4986672.807195,2.747153
