source,target,pair_type,delay_factor,shortest_path_delay,target_delay,spare_path_found,spare_path_delay,delay_delta,spare_edges_count,normal_edges_count,shortest_path_dist,spare_path_dist,duration_s
10028,10010,city,1.250000,0.021900,0.027375,True,0.027419,0.000044,4,2,6565406.491250,8219879.267721,6.599507
10028,10010,city,1.500000,0.021900,0.032850,True,0.033032,0.000182,5,3,6565406.491250,9902722.344187,6.654135
10028,10010,city,2.000000,0.021900,0.043800,True,0.040435,-0.003364,5,3,6565406.491250,12122204.120359,6.799332
10064,10028,city,1.250000,0.041209,0.051512,True,0.052329,0.000817,6,5,12354266.606385,15687819.619604,4.072000
10064,10028,city,1.500000,0.041209,0.061814,True,0.061888,0.000074,5,7,12354266.606385,18553601.590046,4.282447
10064,10028,city,2.000000,0.041209,0.082419,True,0.064464,-0.017954,4,8,12354266.606385,19325952.462604,4.005483
10025,10035,city,1.250000,0.054964,0.068705,True,0.070375,0.001670,7,8,16477723.248893,21097874.299368,5.570940
10025,10035,city,1.500000,0.054964,0.082446,True,0.083064,0.000619,8,11,16477723.248893,24902043.721981,5.469903
10025,10035,city,2.000000,0.054964,0.109928,True,0.092263,-0.017665,8,13,16477723.248893,27659664.661537,5.509626
10179,10001,city,1.250000,0.052764,0.065955,True,0.062999,-0.002956,4,11,15818286.761190,18886773.008001,2.370022
10179,10001,city,1.500000,0.052764,0.079146,True,0.080408,0.001262,5,14,15818286.761190,24105760.707181,2.294381
10179,10001,city,2.000000,0.052764,0.105528,True,0.080454,-0.025075,5,14,15818286.761190,24119421.431290,2.299951
10883,10255,city,1.250000,0.051181,0.063977,True,0.076460,0.012483,6,7,15343824.892780,22922030.741556,2.368023
10883,10255,city,1.500000,0.051181,0.076772,True,0.076460,-0.000313,6,7,15343824.892780,22922030.741556,2.299251
10883,10255,city,2.000000,0.051181,0.102363,True,0.095840,-0.006523,3,15,15343824.892780,28732186.229943,2.349320
10300,10065,city,1.250000,0.008388,0.010486,True,0.009801,-0.000685,1,0,2514787.195003,2938207.882602,5.134615
10300,10065,city,1.500000,0.008388,0.012583,True,0.009801,-0.002782,1,0,2514787.195003,2938207.882602,5.166878
10300,10065,city,2.000000,0.008388,0.016777,True,0.016976,0.000199,4,1,2514787.195003,5089300.999273,5.505256
