source,target,pair_type,delay_factor,shortest_path_delay,target_delay,spare_path_found,spare_path_delay,delay_delta,spare_edges_count,normal_edges_count,shortest_path_dist,spare_path_dist,duration_s
10028,10010,city,1.250000,0.022346,0.027932,True,0.028168,0.000236,4.000000,3.000000,6699057.209588,8444575.994744,6.624405
10028,10010,city,1.500000,0.022346,0.033518,True,0.033173,-0.000345,5.000000,2.000000,6699057.209588,9945162.187972,6.901774
10028,10010,city,2.000000,0.022346,0.044691,True,0.041008,-0.003684,4.000000,4.000000,6699057.209588,12293753.979126,6.809200
10064,10028,city,1.250000,0.040259,0.050324,True,0.051864,0.001540,1.000000,8.000000,12069486.824130,15548423.090852,2.907762
10064,10028,city,1.500000,0.040259,0.060389,True,0.060640,0.000251,3.000000,8.000000,12069486.824130,18179438.403269,2.870937
10064,10028,city,2.000000,0.040259,0.080519,True,0.064784,-0.015735,3.000000,9.000000,12069486.824130,19421648.337807,2.826781
10025,10035,city,1.250000,0.055178,0.068973,True,0.070788,0.001814,5.000000,10.000000,16542069.417312,21221558.929825,5.617429
10025,10035,city,1.500000,0.055178,0.082768,True,0.083144,0.000376,9.000000,10.000000,16542069.417312,24925915.172040,5.592234
10025,10035,city,2.000000,0.055178,0.110357,True,0.100938,-0.009418,7.000000,14.000000,16542069.417312,30260583.151316,5.913618
10179,10001,city,1.250000,0.056344,0.070430,False,,,,,16891615.031176,,1.280402
10179,10001,city,1.500000,0.056344,0.084517,False,,,,,16891615.031176,,1.291412
10179,10001,city,2.000000,0.056344,0.112689,False,,,,,16891615.031176,,1.296450
10883,10255,city,1.250000,0.051509,0.064386,True,0.076130,0.011744,6.000000,7.000000,15442028.432247,22823235.980770,2.325841
10883,10255,city,1.500000,0.051509,0.077264,True,0.076130,-0.001133,6.000000,7.000000,15442028.432247,22823235.980770,2.410570
10883,10255,city,2.000000,0.051509,0.103018,True,0.101286,-0.001732,6.000000,12.000000,15442028.432247,30364891.732781,2.353716
10300,10065,city,1.250000,0.006572,0.008215,True,0.008559,0.000345,2.000000,0.000000,1970147.144880,2566022.521027,3.668538
10300,10065,city,1.500000,0.006572,0.009858,True,0.008559,-0.001298,2.000000,1.000000,1970147.144880,2566022.521027,4.172202
10300,10065,city,2.000000,0.006572,0.013143,True,0.014026,0.000882,1.000000,1.000000,1970147.144880,4204849.371572,4.585410
