source,target,shortest_path_delay,shortest_path_dist,target_delay,spare_path_found,spare_path_delay,spare_path_dist,spare_edges_count,normal_edges_count,duration_s,error
10883,10255,0.0517867757837999,15525284.804120248,0.06473346972974987,True,0.07621919187817601,22849938.879932024,6,7,,
10883,10255,0.0517867757837999,15525284.804120248,0.06473346972974987,True,0.07621919187817601,22849938.879932024,6,7,2.500612109899521,
10883,10255,0.0517867757837999,15525284.804120248,0.06473346972974987,True,0.07621919187817601,22849938.879932024,6,7,2.448518135584891,
10883,10255,0.0517867757837999,15525284.804120248,0.06473346972974987,True,0.07621919187817601,22849938.879932024,6,7,2.4329458069987595,
10883,10255,0.0517867757837999,15525284.804120248,0.07768016367569985,True,0.07621919187817601,22849938.879932024,6,7,2.32547109387815,
10883,10255,0.0517867757837999,15525284.804120248,0.1035735515675998,True,0.10153221022498551,30438590.869521137,6,12,2.6466298699378967,
10883,10255,0.0517867757837999,15525284.804120248,0.06473346972974987,True,0.07621919187817601,22849938.879932024,6,7,2.5742508191615343,
10883,10255,0.0517867757837999,15525284.804120248,0.07768016367569985,True,0.07621919187817601,22849938.879932024,6,7,2.3979210099205375,
10883,10255,0.0517867757837999,15525284.804120248,0.1035735515675998,True,0.10153221022498551,30438590.869521137,6,12,2.313573099207133,
10883,10255,0.0517867757837999,15525284.804120248,0.06473346972974987,True,0.07621919187817601,22849938.879932024,6,7,24.894681873265654,
10883,10255,0.0517867757837999,15525284.804120248,0.07768016367569985,True,0.07621919187817601,22849938.879932024,6,7,26.93044905597344,
10883,10255,0.0517867757837999,15525284.804120248,0.1035735515675998,True,0.10153221022498551,30438590.869521137,6,12,26.66090631019324,
10883,10255,0.0517867757837999,15525284.804120248,0.06473346972974987,True,0.07621919187817601,22849938.879932024,6,7,2.4508348549716175,
10883,10255,0.0517867757837999,15525284.804120248,0.07768016367569985,True,0.07621919187817601,22849938.879932024,6,7,2.411293387878686,
10883,10255,0.0517867757837999,15525284.804120248,0.1035735515675998,True,0.10153221022498551,30438590.869521137,6,12,2.5532477283850312,
